Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	2	1	IAT	IC	129	0.88		2	No					Yes	OrigPub
"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	2	1	ST-IAT	IC	129	0.8		34					CDU/CSU	Yes	OrigPub
"Bluemke, M., & Friese, M. (2008). Reliability and validity of the Single-Target IAT (ST-IAT): assessing automatic affect towards multiple attitude objects. European Journal of Social Psychology, 38, 977–997."	2	1	ST-IAT	IC	129	0.8		34					SPD	Yes	OrigPub
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	IC	161	0.72	0.56	2			Aggregated across measurements (no more detail than that)	21	Initial preference scores	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.7				1 day			"Initial preference scores, days 1-2 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.64				2 days			"Initial preference scores, days 1-3 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.73				1 day			"Initial preference scores, days 2-3 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.63				3 days			"Initial preference scores, days 1-4 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.73				2 days			"Initial preference scores, days 2-4 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.74				1 day			"Initial preference scores, days 3-4 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.66				4 days			"Initial preference scores, days 1-5 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.75				3 days			"Initial preference scores, days 2-5 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.69				2 days			"Initial preference scores, days 3-5 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.76				1 day			"Initial preference scores, days 4-5 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.53				5 days			"Initial preference scores, days 1-6 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.68				4 days			"Initial preference scores, days 2-6 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.69				3 days			"Initial preference scores, days 3-6 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.72				2 days			"Initial preference scores, days 4-6 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.75				1 day			"Initial preference scores, days 5-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.58				6 days			"Initial preference scores, days 1-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.73				5 days			"Initial preference scores, days 2-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.69				4 days			"Initial preference scores, days 3-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.75				3 days			"Initial preference scores, days 4-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.76				2 days			"Initial preference scores, days 5-7 correlation"	Yes	Search
"Hoorens, V., Takano, K., Franck, E., Roberts, J. E., & Raes, F. (2015). Initial and noninitial name-letter preferences as obtained through repeated letter rating tasks continue to reflect (different aspects of) self-esteem. Psychological Assessment, 27, 905–914."	1	1	Name Letter Effect	TRR	161	0.79				1 day			"Initial preference scores, days 6-7 correlation"	Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	IAT	IC	87	0.88		2	No					Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Evaluative Priming	IC	87	-0.16		2	No				supraliminal	Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Evaluative Priming	IC	87	0.49		2	No				subliminal	Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Name Letter Effect	IC	87	0.73	0.57	2						Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	IAT	TRR	87	0.69				"about 31 days (mean = 31.23, range = 22-38 days)"				Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Evaluative Priming	TRR	87	0.08				"about 31 days (mean = 31.23, range = 22-38 days)"			supraliminal	Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Evaluative Priming	TRR	87	0.28				"about 31 days (mean = 31.23, range = 22-38 days)"			subliminal	Yes	Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643."	1	1	Name Letter Effect	TRR	87	0.53				"about 31 days (mean = 31.23, range = 22-38 days)"				Yes	Search
"Demeyer, I., Romero, N., & De Raedt, R. (2018). Assessment of Implicit Self-Esteem in Older Adults: The Role of Actual and Ideal Self-Esteem in Negative Mood. Assessment, 25, 302–309."	1	1	GNAT	IC	49	0.55		2					actual self-esteem	Yes	Search
"Demeyer, I., Romero, N., & De Raedt, R. (2018). Assessment of Implicit Self-Esteem in Older Adults: The Role of Actual and Ideal Self-Esteem in Negative Mood. Assessment, 25, 302–309."	1	1	GNAT	IC	49	0.51		2					ideal self-esteem	Yes	Search
"Pirutinsky, S., Carp, S., & Rosmarin, D. H. (2017). A Paradigm to Assess Implicit Attitudes towards God: The Positive/Negative God Associations Task. Journal of Religion and Health, 56, 305–319."	1	1	GNAT	IC	381	0.8	0.67	2			Averaged across estimates for single blocks	2	Split-half reliability for D'	No	Search
"Pirutinsky, S., Carp, S., & Rosmarin, D. H. (2017). A Paradigm to Assess Implicit Attitudes towards God: The Positive/Negative God Associations Task. Journal of Religion and Health, 56, 305–319."	1	1	GNAT	TRR	98	0.44				12 months 	Averaged across estimates for single blocks	2		No	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	1	GNAT	IC	44	0.56	0.39	2			Averaged across estimates for two-block difference scores	2	"bugs-fruit;  odd/even split, Table 4"	No	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	2	GNAT	IC	90	0.68	0.51	2			Averaged across estimates for two-block difference scores	2	"racism;  odd/even split, Table 4"	No	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	3	GNAT	IC	49	0.51	0.34	2					"ageism;  odd/even split, Table 4"	Yes	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	4	GNAT	IC	134	0.51	0.34	2					"homophobia;  odd/even split, Table 4"	Yes	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	5	GNAT	IC	55	0.72	0.56	2			Averaged across estimates for two-block difference scores	7	"folk psychiatry;  odd/even split, Table 4"	No	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	6	GNAT	IC	33	0.64	0.47	2			Averaged across estimates for two-block difference scores	2	"familiar / nonfamiliar nonwords - frequent attributes, odd/even split,  Table 4"	No	Search
"Williams, B. J., & Kaufmann, L. M. (2012). Reliability of the Go/No Go Association Task. Journal of Experimental Social Psychology, 48, 879–891."	1	7	GNAT	IC	34	0.66	0.49	2			Averaged across estimates for two-block difference scores	2	"familiar / nonfamiliar nonwords - infrequent attributes, odd/even split, Table 4"	No	Search
"Nosek, B. A., & Banaji, M. R. (2001). The Go/No-Go Association Task. Social Cognition, 19, 625–666."	6	1	GNAT	IC	50	0.33	0.2	2			Average across GNATs	6	Reported in general discussion	Yes	OrigPub
"Boldero, J. M., Rawlings, D., & Haslam, N. (2007). Convergence between GNAT-assessed implicit and explicit personality. European Journal of Personality, 21, 341–358."	1	1	GNAT	IC	36	0.77	0.63	2					D measure	No	Search
"Boldero, J. M., Rawlings, D., & Haslam, N. (2007). Convergence between GNAT-assessed implicit and explicit personality. European Journal of Personality, 21, 341–358."	2	1	GNAT	IC	169	0.84	0.73	2			Average across estimates from 5 blocks of GNAT	5	Table 1	No	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	Name Letter Effect	IC	102	0.51		2					T1	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	Name Letter Effect	IC	102	0.5		2					T2	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	IAT	IC	102	0.85		2					T1	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	IAT	IC	102	0.83		2					T2	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	EAST	IC	102	0.16		2					T1	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	EAST	IC	102	0.24		2					T2	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	Name Letter Effect	TRR	102	0.56				1 week 				Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	IAT	TRR	102	0.54				1 week 				Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	1	1	EAST	TRR	102	0.18				1 week 				Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	2	1	Name Letter Effect	IC	60	0.69		2						Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	2	1	IAT	IC	60	0.8		2						Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	2	1	SC-IAT	IC	60	0.88		2						Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	2	1	EAST	IC	49	0.64		2						Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	3	1	IAT	IC	195	0.85		2					original index d	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	3	1	GNAT	IC	195	0.65		2					Relative GNAT index	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	3	1	IAT	TRR	195	0.39				1 week			original index d	Yes	Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281."	3	1	GNAT	TRR	195	0.51				1 week			Relative GNAT index	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	1	IAT	IC	102	0.84		2	No				"IAT Control, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	1	IAT	IC	94	0.86		2	No				"IAT Control, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	2	IAT	IC	97	0.77		2	No				"IAT 5 out of 10, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	2	IAT	IC	74	0.85		2	No				"IAT 5 out of 10, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	IC	107	0.72		2	No				"Anxiety Control, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	IC	107	0.66		2	No				"Anxiety Control, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	IC	107	0.64		2	No				"Calmness Control, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	IC	107	0.67		2	No				"Calmness Control, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	IC	120	0.7		2	No				"Anxiety 5 out of 10, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	IC	115	0.81		2	No				"Anxiety 5 out of 10, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	IC	120	0.71		2	No				"Calmness 5 out of 10, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	IC	115	0.64		2	No				"Calmness 5 out of 10, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	1	IAT	TRR	94	0.34				5 months			IAT Control	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	2	IAT	TRR	74	0.48				5 months			IAT 5 out of 10	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	TRR	107	0.24				5 months			Anxiety Control	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	3	SC-IAT	TRR	107	0.13				5 months			Calmness Control	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	TRR	115	0.33				5 months			Anxiety 5 out of 10	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	1	4	SC-IAT	TRR	115	0.14				5 months			Calmness 5 out of 10	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	1	IAT	IC	60	0.86		2	No				"Control, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	1	IAT	IC	60	0.86		2	No				"Control, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	2	IAT	IC	61	0.87		2	No				"5 out of 10, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	2	IAT	IC	61	0.8		2	No				"5 out of 10, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	3	IAT	IC	60	0.88		2	No				"Free association, Table 2, T1"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	3	IAT	IC	60	0.86		2	No				"Free association, Table 2, T2"	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	1	IAT	TRR	60	0.64				1 week			"Control, Table 2."	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	2	IAT	TRR	61	0.34				1 week			"5 out of 10, Table 2."	Yes	Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944."	2	3	IAT	TRR	60	0.53				1 week			"Free association, Table 2."	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	1	IAT	IC	54	0.97	0.95	2					"D-Score, Section 3.3, T1"	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	1	IAT	IC	54	0.95	0.91	2					"D-Score, Section 3.3, T2"	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	IC	57	0.78	0.64	2					"D-Score physical activity, Section 3.3, T1"	Yes	Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78."	1	2	SC-IAT	IC	57	0.87	0.77	2					"D-Score physical activity, Section 3.3, T2"	Yes	Search
